PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2017;2018;2019;2020;2021
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30020;B HBO-ICT;voltijd onderwijs;hbo bachelor;vrouw;<5;6;5;6;9
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30038;B Ruimtelijke Ontwikkeling;voltijd onderwijs;hbo bachelor;man;6;8;7;13;13
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30038;B Ruimtelijke Ontwikkeling;voltijd onderwijs;hbo bachelor;vrouw;<5;<5;0;5;<5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30107;B Engineering;voltijd onderwijs;hbo bachelor;man;10;23;24;26;22
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);30107;B Engineering;voltijd onderwijs;hbo bachelor;vrouw;0;6;<5;5;5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;duaal onderwijs;hbo bachelor;man;<5;10;5;11;<5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;duaal onderwijs;hbo bachelor;vrouw;0;0;<5;<5;0
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;hbo bachelor;man;8;10;8;11;10
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);34263;B Bouwkunde;voltijd onderwijs;hbo bachelor;vrouw;<5;<5;<5;<5;7
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;hbo associate degree;man;8;10;11;14;9
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80034;Ad Bouwkunde;duaal onderwijs;hbo associate degree;vrouw;<5;<5;<5;<5;<5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;hbo associate degree;man;10;35;35;44;39
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;techniek;n.v.t. (techniek);80130;Ad Software Development;voltijd onderwijs;hbo associate degree;vrouw;0;<5;<5;8;7
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);30009;B Toegepaste Biologie;voltijd onderwijs;hbo bachelor;man;22;28;37;33;19
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);30009;B Toegepaste Biologie;voltijd onderwijs;hbo bachelor;vrouw;19;26;39;35;30
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);30033;B Geo Media & Design;voltijd onderwijs;hbo bachelor;man;<5;5;<5;6;0
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);30033;B Geo Media & Design;voltijd onderwijs;hbo bachelor;vrouw;<5;<5;0;<5;<5
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo bachelor;man;<5;<5;<5;<5;0
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo bachelor;vrouw;0;<5;6;6;<5
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo associate degree;man;<5;0;0;<5;<5
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);80028;Ad Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo associate degree;vrouw;0;<5;0;<5;<5
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;sectoroverstijgend;sectoroverstijgend;45290;M Food Systems Innovation;voltijd onderwijs;hbo master;man;0;0;0;0;6
Flevoland;0034;Almere;reguliere inst.;30TX;Aeres Hogeschool;sectoroverstijgend;sectoroverstijgend;45290;M Food Systems Innovation;voltijd onderwijs;hbo master;vrouw;0;0;0;0;11
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;deeltijd onderwijs;hbo bachelor;man;5;<5;6;7;8
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;deeltijd onderwijs;hbo bachelor;vrouw;<5;0;<5;<5;<5
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo bachelor;man;77;54;47;68;61
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34866;B Bedrijfskunde en Agribusiness;voltijd onderwijs;hbo bachelor;vrouw;74;68;58;65;72
Flevoland;0303;Dronten;reguliere inst.;30TX;Aeres Hogeschool;landbouw en natuurlijke omgeving;n.v.t. (landbouw en natuurlijke omgeving);34868;B Tuinbouw en Akkerbouw;deeltijd onderwijs;hbo bachelor;man;8;<5;7;6;0
